,Material,Reference,E(keV),SE.yield,Rough,Smooth,Oxidized,carbon,Clean,possibly Contaminated,Annealed,Sputtered
760,Copper,USU (2001)(native),7,0.33, ,x, , , , , , 
761,Copper,USU (2001)(native),8,0.3, ,x, , , , , , 
762,Copper,USU (2001)(native),9,0.28, ,x, , , , , , 
763,Copper,USU (2001)(native),10,0.25, ,x, , , , , , 
764,Copper,USU (2001)(SEE),0.1008,0.5736, ,x, , , , , , 
765,Copper,USU (2001)(SEE),0.1494,0.6913, ,x, , , , , , 
766,Copper,USU (2001)(SEE),0.2022,0.7734, ,x, , , , , , 
767,Copper,USU (2001)(SEE),0.2506,0.8493, ,x, , , , , , 
768,Copper,USU (2001)(SEE),0.2973,0.8879, ,x, , , , , , 
769,Copper,USU (2001)(SEE),0.3492,0.9077, ,x, , , , , , 
770,Copper,USU (2001)(SEE),0.3982,0.9234, ,x, , , , , , 
771,Copper,USU (2001)(SEE),0.4478,0.9279, ,x, , , , , , 
772,Copper,USU (2001)(SEE),0.4988,0.9288, ,x, , , , , , 
773,Copper,USU (2001)(SEE),0.5482,0.933, ,x, , , , , , 
774,Copper,USU (2001)(SEE),0.5982,0.9235, ,x, , , , , , 
775,Copper,USU (2001)(SEE),0.6498,0.9228, ,x, , , , , , 
776,Copper,USU (2001)(SEE),0.6981,0.9128, ,x, , , , , , 
777,Copper,USU (2001)(SEE),0.7965,0.8911, ,x, , , , , , 
778,Copper,USU (2001)(SEE),0.8979,0.867, ,x, , , , , , 
779,Copper,USU (2001)(SEE),1.0015,0.868, ,x, , , , , , 
780,Copper,USU (2001)(SEE),4,0.42, ,x, , , , , , 
781,Copper,USU (2001)(SEE),4.5,0.39, ,x, , , , , , 
782,Copper,USU (2001)(SEE),5,0.36, ,x, , , , , , 
783,Copper,USU (2001)(SEE),6,0.31, ,x, , , , , , 
784,Copper,USU (2001)(SEE),7,0.28, ,x, , , , , , 
785,Copper,USU (2001)(SEE),8,0.25, ,x, , , , , , 
786,Copper,USU (2001)(SEE),9,0.23, ,x, , , , , , 
787,Copper,USU (2001)(SEE),10,0.21, ,x, , , , , , 
788,Copper,USU (2001)(SEE),12,0.19, ,x, , , , , , 
789,Copper,"Walker, Cleaned (2008)",1.2711,1.21,x, , , ,x, , ,x
790,Copper,"Walker, Cleaned (2008)",1.4897,1.33,x, , , ,x, , ,x
791,Copper,"Walker, Cleaned (2008)",1.6837,1.39,x, , , ,x, , ,x
792,Copper,"Walker, Cleaned (2008)",1.8483,1.43,x, , , ,x, , ,x
793,Copper,"Walker, Cleaned (2008)",2.0032,1.46,x, , , ,x, , ,x
794,Copper,"Walker, Cleaned (2008)",2.1484,1.48,x, , , ,x, , ,x
795,Copper,"Walker, Cleaned (2008)",2.2791,1.49,x, , , ,x, , ,x
796,Copper,"Walker, Cleaned (2008)",2.4725,1.5,x, , , ,x, , ,x
797,Copper,"Walker, Cleaned (2008)",2.6319,1.5,x, , , ,x, , ,x
798,Copper,"Walker, Cleaned (2008)",2.7912,1.49,x, , , ,x, , ,x
799,Copper,"Walker, Cleaned (2008)",2.9362,1.48,x, , , ,x, , ,x
800,Copper,"Walker, Cleaned (2008)",3.0712,1.45,x, , , ,x, , ,x
801,Copper,"Walker, Cleaned (2008)",3.1773,1.43,x, , , ,x, , ,x
802,Copper,"Walker, Cleaned (2008)",3.3414,1.41,x, , , ,x, , ,x
803,Copper,"Walker, Cleaned (2008)",3.5487,1.37,x, , , ,x, , ,x
804,Copper,"Walker, Cleaned (2008)",3.7367,1.32,x, , , ,x, , ,x
805,Copper,"Walker, Cleaned (2008)",3.8958,1.28,x, , , ,x, , ,x
806,Copper,"Walker, Cleaned (2008)",4.1607,1.2,x, , , ,x, , ,x
807,Copper,"Walker, Cleaned (2008)",4.4015,1.12,x, , , ,x, , ,x
808,Copper,"Walker, Cleaned (2008)",4.5845,1.06,x, , , ,x, , ,x
809,Copper,"Walker, Cleaned (2008)",4.753,1,x, , , ,x, , ,x
810,Copper,"Walker, Cleaned (2008)",4.9022,0.95,x, , , ,x, , ,x
811,Copper,"Walker, Cleaned (2008)",5.0322,0.89,x, , , ,x, , ,x
812,Copper,"Walker, Native (2008)",1.2803,1.65, , , , , ,x, , 
813,Copper,"Walker, Native (2008)",1.5026,1.64, , , , , ,x, , 
814,Copper,"Walker, Native (2008)",1.7002,1.59, , , , , ,x, , 
815,Copper,"Walker, Native (2008)",1.869,1.56, , , , , ,x, , 
816,Copper,"Walker, Native (2008)",2.0089,1.54, , , , , ,x, , 
817,Copper,"Walker, Native (2008)",2.1489,1.53, , , , , ,x, , 
818,Copper,"Walker, Native (2008)",2.3611,1.48, , , , , ,x, , 
819,Copper,"Walker, Native (2008)",2.4768,1.46, , , , , ,x, , 
820,Copper,"Walker, Native (2008)",2.7226,1.39, , , , , ,x, , 
821,Copper,"Walker, Native (2008)",2.9298,1.34, , , , , ,x, , 
822,Copper,"Walker, Native (2008)",3.1709,1.28, , , , , ,x, , 
823,Copper,"Walker, Native (2008)",3.5276,1.19, , , , , ,x, , 
824,Copper,"Walker, Native (2008)",3.7444,1.13, , , , , ,x, , 
825,Copper,"Walker, Native (2008)",3.913,1.08, , , , , ,x, , 
826,Copper,"Walker, Native (2008)",4.1781,1.01, , , , , ,x, , 
827,Copper,"Walker, Native (2008)",4.3996,0.94, , , , , ,x, , 
828,Copper,"Walker, Native (2008)",4.5779,0.88, , , , , ,x, , 
829,Copper,"Walker, Native (2008)",4.7417,0.84, , , , , ,x, , 
830,Copper,"Walker, Native (2008)",4.8862,0.8, , , , , ,x, , 
831,Copper,"Walker, Native (2008)",5.036,0.79, , , , , ,x, , 
832,Copper,"Warnecke Native, 1936",0.0001,0.65, , , , , , , , 
833,Copper,"Warnecke Native, 1936",0.0253,0.75, , , , , , , , 
834,Copper,"Warnecke Native, 1936",0.0381,0.85, , , , , , , , 
835,Copper,"Warnecke Native, 1936",0.0495,0.94, , , , , , , , 
836,Copper,"Warnecke Native, 1936",0.0752,1.06, , , , , , , , 
837,Copper,"Warnecke Native, 1936",0.1013,1.15, , , , , , , , 
838,Copper,"Warnecke Native, 1936",0.1269,1.23, , , , , , , , 
839,Copper,"Warnecke Native, 1936",0.1773,1.33, , , , , , , , 
840,Copper,"Warnecke Native, 1936",0.2277,1.41, , , , , , , , 
841,Copper,"Warnecke Native, 1936",0.2535,1.45, , , , , , , , 
842,Copper,"Warnecke Native, 1936",0.2788,1.47, , , , , , , , 
843,Copper,"Warnecke Native, 1936",0.3023,1.49, , , , , , , , 
844,Copper,"Warnecke Native, 1936",0.3299,1.51, , , , , , , , 
845,Copper,"Warnecke Native, 1936",0.3787,1.53, , , , , , , , 
846,Copper,"Warnecke Native, 1936",0.4067,1.55, , , , , , , , 
847,Copper,"Warnecke Native, 1936",0.4421,1.55, , , , , , , , 
848,Copper,"Warnecke Native, 1936",0.4719,1.56, , , , , , , , 
849,Copper,"Warnecke Native, 1936",0.4903,1.56, , , , , , , , 
850,Copper,"Warnecke Native, 1936",0.5325,1.56, , , , , , , , 
851,Copper,"Warnecke Native, 1936",0.5582,1.56, , , , , , , , 
852,Copper,"Warnecke Native, 1936",0.5922,1.56, , , , , , , , 
853,Copper,"Warnecke Native, 1936",0.6192,1.56, , , , , , , , 
854,Copper,"Warnecke Native, 1936",0.6458,1.56, , , , , , , , 
855,Copper,"Warnecke Native, 1936",0.6848,1.56, , , , , , , , 
856,Copper,"Warnecke Native, 1936",0.7357,1.55, , , , , , , , 
857,Copper,"Warnecke Native, 1936",0.7866,1.54, , , , , , , , 
858,Copper,"Warnecke Native, 1936",0.8283,1.53, , , , , , , , 
859,Copper,"Warnecke Native, 1936",0.8779,1.52, , , , , , , , 
860,Copper,"Warnecke Native, 1936",0.9187,1.51, , , , , , , , 
861,Copper,"Warnecke Native, 1936",0.9581,1.5, , , , , , , , 
862,Copper,"Warnecke Native, 1936",0.9998,1.49, , , , , , , , 
863,Copper,"Warnecke Native, 1936",1.0406,1.48, , , , , , , , 
864,Copper,"Warnecke Native, 1936",1.0887,1.47, , , , , , , , 
865,Copper,"Warnecke Native, 1936",1.141,1.46, , , , , , , , 
866,Copper,"Warnecke Native, 1936",1.1933,1.45, , , , , , , , 
867,Copper,"Warnecke Native, 1936",1.2588,1.43, , , , , , , , 
868,Copper,"Warnecke Native, 1936",1.3193,1.42, , , , , , , , 
869,Copper,"Warnecke Native, 1936",1.3707,1.41, , , , , , , , 
870,Copper,"Warnecke Native, 1936",1.4234,1.39, , , , , , , , 
871,Copper,"Warnecke Native, 1936",1.4596,1.39, , , , , , , , 
872,Copper,"Warnecke Rampup, 1936",0.0168,0.6, , , , , , ,x, 
873,Copper,"Warnecke Rampup, 1936",0.0352,0.7, , , , , , ,x, 
874,Copper,"Warnecke Rampup, 1936",0.0652,0.85, , , , , , ,x, 
875,Copper,"Warnecke Rampup, 1936",0.0922,0.96, , , , , , ,x, 
876,Copper,"Warnecke Rampup, 1936",0.1174,1.05, , , , , , ,x, 
877,Copper,"Warnecke Rampup, 1936",0.1522,1.14, , , , , , ,x, 
878,Copper,"Warnecke Rampup, 1936",0.1781,1.2, , , , , , ,x, 
879,Copper,"Warnecke Rampup, 1936",0.2022,1.25, , , , , , ,x, 
880,Copper,"Warnecke Rampup, 1936",0.2193,1.27, , , , , , ,x, 
881,Copper,"Warnecke Rampup, 1936",0.2372,1.29, , , , , , ,x, 
882,Copper,"Warnecke Rampup, 1936",0.264,1.32, , , , , , ,x, 
883,Copper,"Warnecke Rampup, 1936",0.287,1.34, , , , , , ,x, 
884,Copper,"Warnecke Rampup, 1936",0.3174,1.36, , , , , , ,x, 
885,Copper,"Warnecke Rampup, 1936",0.3496,1.38, , , , , , ,x, 
886,Copper,"Warnecke Rampup, 1936",0.3813,1.39, , , , , , ,x, 
887,Copper,"Warnecke Rampup, 1936",0.4249,1.4, , , , , , ,x, 
888,Copper,"Warnecke Rampup, 1936",0.4603,1.41, , , , , , ,x, 
889,Copper,"Warnecke Rampup, 1936",0.5007,1.41, , , , , , ,x, 
890,Copper,"Warnecke Rampup, 1936",0.5333,1.41, , , , , , ,x, 
891,Copper,"Warnecke Rampup, 1936",0.5695,1.41, , , , , , ,x, 
892,Copper,"Warnecke Rampup, 1936",0.6167,1.4, , , , , , ,x, 
893,Copper,"Warnecke Rampup, 1936",0.6576,1.4, , , , , , ,x, 
894,Copper,"Warnecke Rampup, 1936",0.6952,1.39, , , , , , ,x, 
895,Copper,"Warnecke Rampup, 1936",0.7327,1.39, , , , , , ,x, 
896,Copper,"Warnecke Rampup, 1936",0.7635,1.38, , , , , , ,x, 
897,Copper,"Warnecke Rampup, 1936",0.824,1.37, , , , , , ,x, 
898,Copper,"Warnecke Rampup, 1936",0.8616,1.36, , , , , , ,x, 
899,Copper,"Warnecke Rampup, 1936",0.9166,1.35, , , , , , ,x, 
900,Copper,"Warnecke Rampup, 1936",0.9716,1.34, , , , , , ,x, 
901,Copper,"Warnecke Rampup, 1936",1.0147,1.34, , , , , , ,x, 
902,Copper,"Warnecke Rampup, 1936",1.0464,1.33, , , , , , ,x, 
903,Copper,"Warnecke Rampup, 1936",1.089,1.32, , , , , , ,x, 
904,Copper,"Warnecke Rampup, 1936",1.133,1.31, , , , , , ,x, 
905,Copper,"Warnecke Rampup, 1936",1.1802,1.3, , , , , , ,x, 
906,Copper,"Warnecke Rampup, 1936",1.2353,1.29, , , , , , ,x, 
907,Copper,"Warnecke Rampup, 1936",1.2765,1.27, , , , , , ,x, 
908,Copper,"Warnecke Rampup, 1936",1.3136,1.27, , , , , , ,x, 
909,Copper,"Warnecke Rampup, 1936",1.3549,1.26, , , , , , ,x, 
910,Copper,"Warnecke Rampup, 1936",1.3994,1.24, , , , , , ,x, 
911,Copper,"Warnecke Rampup, 1936",1.447,1.24, , , , , , ,x, 
912,Copper,"Whetten, 1962",0.2,1, , , , , , , , 
913,Copper,"Whetten, 1962",0.6,1.3, , , , , , , , 
914,Copper,"Whetten, 1962",1.5,1, , , , , , , , 
915,Copper,"Wittry, 1966",5,0.29, , , , , , , , 
916,Copper,"Wittry, 1966",5,0.39, , , , , , , , 
917,Copper,"Wittry, 1966",30,0.11, , , , , , , , 
918,Copper,"Wittry, 1966",30,0.12, , , , , , , , 
